time,climate,response,phase
207,0.329829,2.073369,pre
208,0.51526400000000006,1.78788,pre
209,0.238328,2.169091,pre
210,0.385933,2.289323,pre
211,0.688893,1.671014,pre
212,0.701966,3.934396,pre
213,0.544345,2.366975,pre
214,-0.025773,2.356699,pre
215,0.41228,2.822503,pre
216,0.680569,2.532361,pre
217,0.606205,2.351966,pre
218,0.34367,3.280661,pre
219,-0.295203,2.27266,pre
220,0.383366,1.599106,pre
221,0.49985,2.636449,pre
222,0.356094,2.084476,pre
223,0.372173,1.95964,pre
224,0.428835,1.785937,pre
225,0.20988,2.544299,pre
226,0.624536,1.938446,pre
227,0.402618,2.278671,pre
228,-0.037716,2.295481,pre
229,0.606235,1.864792,pre
230,0.549805,3.16034,pre
231,0.442517,2.150489,pre
232,-0.191387,2.68537,pre
233,0.069681,1.462926,pre
234,0.358588,1.732701,pre
235,0.198312,1.718048,pre
236,0.262026,2.016234,pre
237,0.777536,2.843498,pre
238,-0.054369,2.097177,pre
239,-0.39051,2.105314,pre
240,0.193757,1.668648,pre
241,-0.059043,1.661869,pre
242,0.211872,2.537021,pre
243,-0.115245,2.605349,pre
244,0.628341,2.59834,pre
245,0.031864,1.402924,pre
246,-0.06909,2.732339,pre
247,-0.003875,2.29172,pre
248,0.240771,1.726419,pre
249,0.036901,2.125796,pre
250,-0.406404,1.342689,pre
251,-0.013721,1.401637,pre
252,0.16493,1.90256,pre
253,-0.027942,1.354733,pre
254,0.133524,1.912048,pre
255,-0.099409,2.466484,pre
256,-0.089799,1.363448,pre
257,0.032741,1.323921,pre
258,0.147874,1.530965,pre
259,-0.424455,1.412949,pre
260,-0.133705,1.426881,pre
261,-0.155531,2.16625,pre
262,-0.339956,1.860726,pre
263,-0.421227,1.710106,pre
264,-0.332706,0.968233,pre
265,-0.040679,1.522994,pre
266,-0.303791,1.883001,pre
267,-0.408229,1.804417,pre
268,-0.183417,1.468457,pre
269,-0.545678,0.742241,pre
270,0.012779,1.426113,pre
271,-0.38199,1.610668,pre
272,-0.22567,1.617541,pre
273,-0.272268,1.402275,pre
274,-0.297102,1.58532,pre
275,0.143329,1.315278,pre
276,-0.527276,1.770172,pre
277,-0.046452,1.468592,pre
278,-0.33675,0.983177,pre
279,-0.565213,1.948366,pre
280,-0.385315,1.834272,pre
281,-0.193086,1.551432,pre
282,-0.497753,0.840992,pre
283,-0.595927,1.082655,pre
284,-0.376185,1.450394,pre
285,-0.17863,1.207865,pre
286,-0.45548,1.184298,pre
287,-0.79514,2.146659,pre
288,-0.786249,0.960822,pre
289,-0.662803,0.689742,pre
290,-0.613531,1.211997,pre
291,-0.498084,0.962133,pre
292,-0.335999,1.220899,pre
293,-0.623094,0.817309,pre
294,-0.803645,1.857022,pre
295,-0.38405,1.025682,pre
296,-0.47753,0.828643,pre
297,-0.267539,1.042623,pre
298,-0.987889,1.203838,pre
299,-0.555743,1.069858,pre
300,-0.249445,0.674159,pre
301,-0.416862,0.93961,pre
302,-0.816069,1.193659,pre
303,-0.434727,1.036497,pre
304,-0.845673,1.153398,pre
305,-0.750773,0.892417,pre
306,-0.350172,0.91594,pre
307,-0.729122,1.017068,pre
308,-0.458875,1.071024,pre
309,-0.74814,0.659407,pre
310,-1.078638,0.83534,pre
311,-0.905857,0.791065,pre
312,-0.97478,0.645866,pre
313,-0.832608,0.643932,pre
314,-0.804387,0.740087,pre
315,-0.767308,0.889834,pre
316,-0.798325,0.711334,pre
317,-0.272891,0.679884,pre
318,-1.100751,0.780508,pre
319,-0.866149,0.624718,pre
320,-0.683243,0.9725,pre
321,-0.371352,0.666703,pre
322,-0.764158,0.847621,pre
323,-0.484203,0.782572,pre
324,-1.212706,0.775439,pre
325,-0.447428,1.08963,pre
326,-0.988979,0.62244,pre
327,-0.89264,0.954245,pre
328,-1.107951,0.731538,pre
329,-0.804061,0.568968,pre
330,-0.397993,0.674213,pre
331,-0.245454,0.916382,pre
332,-1.126734,0.568436,pre
333,-0.742438,0.59187,pre
334,-0.523053,0.675009,pre
335,-0.925221,0.806111,pre
336,-0.936835,0.656479,pre
337,-0.964331,0.442301,pre
338,-0.744383,0.476819,pre
339,-0.550048,0.491295,pre
340,-0.732922,0.51318,pre
341,-0.830059,0.647632,pre
342,-0.990709,0.741593,pre
343,-0.795645,0.531804,pre
344,-1.062461,0.459114,pre
345,-0.999591,0.682956,pre
346,-0.660201,0.622703,pre
347,-0.828231,0.746834,pre
348,-0.882736,0.377421,pre
349,-1.011,0.57022,pre
350,-0.718298,0.8306,pre
351,-0.621136,0.605895,pre
352,-1.17584,0.45702,pre
353,-0.948156,0.629609,pre
354,-0.953115,0.417704,pre
355,-1.113172,0.470819,pre
356,-1.221316,0.755285,pre
357,-0.975135,0.449165,pre
358,-0.81339,0.603952,pre
359,-0.610644,0.468041,pre
360,-1.459575,0.343008,pre
361,-1.160174,0.408124,pre
362,-1.064543,0.416302,pre
363,-1.404441,0.439852,pre
364,-1.178095,0.445817,pre
365,-1.186453,0.468446,pre
366,-1.174254,0.430297,pre
367,-1.54216,0.789746,pre
368,-0.942779,0.320455,pre
369,-1.15514,0.401491,pre
370,-0.617904,0.515931,pre
371,-0.799748,0.709405,pre
372,-1.362672,0.43041,pre
373,-0.975085,0.659033,pre
374,-1.148364,0.268773,pre
375,-0.77793,0.672621,pre
376,-0.986653,0.373198,pre
377,-1.13894,0.434399,pre
378,-0.88969,0.33982,pre
379,-0.960585,0.481858,pre
380,-1.039181,0.67163,pre
381,-0.492186,0.816518,pre
382,-1.12848,0.306676,pre
383,-1.112648,0.473384,pre
384,-1.380096,0.635969,pre
385,-1.002246,0.410731,pre
386,-0.767872,0.363738,pre
387,-1.506499,0.36996,pre
388,-1.049202,0.478077,pre
389,-1.279977,0.552392,pre
390,-0.621803,0.462343,pre
391,-0.640381,0.474555,pre
392,-0.893642,0.351904,pre
393,-0.617192,0.456235,pre
394,-1.188461,0.360487,pre
395,-0.73092,0.371858,pre
396,-1.111635,0.512174,pre
397,-0.881788,0.451621,pre
398,-1.033371,0.403744,pre
399,-1.0245,0.393758,pre
400,-0.814528,0.473553,pre
401,-1.273054,0.507002,pre
402,-1.005719,0.261224,pre
403,-0.895982,0.392844,pre
404,-1.035196,0.366542,pre
405,-0.903612,0.329373,pre
406,-1.004797,0.272704,pre
407,-0.515646,0.395918,pre
408,-0.736694,0.438364,pre
409,-0.16864,0.574088,pre
410,-1.103596,0.23839,pre
411,-0.695814,0.328477,pre
412,-0.369334,0.354642,pre
413,-0.812891,0.248108,pre
414,-1.15306,0.332118,pre
415,-1.127887,0.29876,pre
416,-0.879037,0.289632,pre
417,-0.536642,0.236683,pre
418,-0.669927,0.384113,pre
419,-1.385587,0.330391,pre
420,-1.019416,0.530879,pre
421,-0.839792,0.455284,pre
422,-1.195129,0.262804,pre
423,-0.6499,0.343251,pre
424,-1.431673,0.322447,pre
425,-0.773195,0.438187,pre
426,-0.899373,0.410052,pre
427,-0.916781,0.331251,pre
428,-0.8572,0.436659,pre
429,-0.699764,0.377395,pre
430,-0.671432,0.355226,pre
431,-0.818843,0.621529,pre
432,-1.235489,0.329725,pre
433,-1.105748,0.313311,pre
434,-1.104928,0.248711,pre
435,-0.538503,0.345248,pre
436,-0.781213,0.499342,pre
437,-0.644117,0.219188,pre
438,-1.092382,0.362772,pre
439,-0.82755,0.276019,pre
440,-0.543934,0.558032,pre
441,-0.719914,0.536806,pre
442,-0.694796,0.431139,pre
443,-0.674601,0.564562,pre
444,-0.344329,0.312166,pre
445,-0.791148,0.47195,pre
446,-0.45866,0.32178,pre
447,-0.39321,0.425835,pre
448,-0.90526,0.341897,pre
449,-0.56759,0.380401,pre
450,-0.590591,0.457005,pre
451,-0.320288,0.286976,pre
452,-0.338575,0.367086,pre
453,-0.55749,0.428499,pre
454,-0.512392,0.360705,pre
455,-0.715865,0.402287,pre
456,-0.574706,0.360194,pre
457,-0.771742,0.593578,pre
458,-0.745362,0.500566,pre
459,-0.797931,0.853778,pre
460,-0.272702,0.323668,pre
461,-0.191961,0.493204,pre
462,-0.562816,0.616223,pre
463,-0.730628,0.449758,pre
464,-0.459099,0.33142,pre
465,0.134697,0.305833,pre
466,0.095953,0.417182,pre
467,-0.832857,0.57069,pre
468,-0.4806,0.491966,pre
469,0.003541,0.251278,pre
470,-0.377686,0.347659,pre
471,0.042941,0.430133,pre
472,-0.428039,0.323368,pre
473,-0.181573,0.479518,pre
474,-0.264883,0.230998,pre
475,0.49825,0.451726,pre
476,-0.066928,0.433017,pre
477,-0.586654,0.417869,pre
478,-0.423922,0.423122,pre
479,-0.168283,0.467138,pre
480,-0.72394,0.518056,pre
481,-0.687601,0.443202,pre
482,-0.504726,0.298078,pre
483,-0.29899,0.331001,pre
484,0.110016,0.308798,pre
485,-0.255931,0.575293,pre
486,-0.134428,0.493552,pre
487,-0.178789,0.483041,pre
488,-0.326535,0.337963,pre
489,0.202759,0.473232,pre
490,-0.399462,0.567454,pre
491,-0.169965,0.499241,pre
492,-0.187319,0.487325,pre
493,0.045181,0.519925,pre
494,0.326482,0.662998,pre
495,0.065663,0.439462,pre
496,0.295349,0.666839,pre
497,0.153084,0.756635,pre
498,-0.181276,0.395928,pre
499,0.00782,0.577604,pre
500,0.34402,0.588663,pre
501,-0.37775,0.717847,pre
502,0.106323,0.717992,pre
503,-0.001507,0.594729,pre
504,0.26969,0.531771,pre
505,0.250332,0.50434,pre
506,0.15059,0.538924,pre
507,0.461054,0.464727,pre
508,-0.281012,0.466978,pre
509,0.340536,0.448541,pre
510,-0.26955,0.797222,pre
511,0.284719,0.838735,pre
512,0.172636,0.555194,pre
513,0.404453,0.484366,pre
514,0.194726,0.660847,pre
515,-0.204794,1.174837,pre
516,-0.302246,1.023348,pre
517,0.34725,0.375082,pre
518,0.205927,0.630249,pre
519,0.093744,0.985411,pre
520,0.170923,0.699469,pre
521,0.092988,1.060382,pre
522,0.233617,0.636753,pre
523,0.052193,0.849661,pre
524,-0.198711,0.789755,pre
525,0.254117,1.727119,pre
526,0.582263,0.939951,pre
527,0.802152,0.532391,pre
528,0.345294,0.648005,pre
529,0.336244,0.794427,pre
530,0.60887,0.488184,pre
531,0.393172,0.468007,pre
532,0.282649,0.671008,pre
533,-0.031418,0.675105,pre
534,0.098452,1.109504,pre
535,0.527356,0.856653,pre
536,0.072202,0.827939,pre
537,0.710498,0.80153,pre
538,0.122972,0.650913,pre
539,0.422311,1.135173,pre
540,0.48117,0.636543,pre
541,0.48952,0.779365,pre
542,0.54161,0.844925,pre
543,0.664067,1.126154,pre
544,0.493622,1.328103,pre
545,0.473693,1.009315,pre
546,0.586476,1.424485,pre
547,0.448465,1.082812,pre
548,0.951622,0.84888,pre
549,0.035011,1.047516,pre
550,0.844536,1.563131,pre
551,0.535784,0.701624,pre
552,0.71351,1.06699,pre
553,0.864773,1.068033,pre
554,0.836583,1.207674,pre
555,0.472294,1.320009,pre
556,1.038073,1.167827,pre
557,0.250842,1.412504,pre
558,0.881986,0.752457,pre
559,0.547432,1.433965,pre
560,0.205206,0.764342,pre
561,0.2272,1.43594,pre
562,0.763945,1.16193,pre
563,1.267419,1.398065,pre
564,0.788653,1.197906,pre
565,1.011665,0.821908,pre
566,0.94718,0.656694,pre
567,0.582287,1.388382,pre
568,0.992742,1.268525,pre
569,0.85068,1.093147,pre
570,0.822163,1.222068,pre
571,1.028741,1.185122,pre
572,0.973151,1.153012,pre
573,0.637347,1.131108,pre
574,0.900373,0.850024,pre
575,0.585975,1.381837,pre
576,0.974044,1.851319,pre
577,0.715356,2.24054,pre
578,0.943631,1.553397,pre
579,0.929528,1.385154,pre
580,0.776731,1.66379,pre
581,0.967373,1.485507,pre
582,1.001116,1.204004,pre
583,0.806248,1.039181,pre
584,1.163244,1.026967,pre
585,1.224482,1.799185,pre
586,0.716793,1.036767,pre
587,0.693794,1.99912,pre
588,1.022226,1.218129,pre
589,0.671077,1.562346,pre
590,0.792471,1.510829,pre
591,1.110839,1.617148,pre
592,0.771872,1.690429,pre
593,0.438201,1.858104,pre
594,1.091175,1.69157,pre
595,0.529141,1.832279,pre
596,0.595679,1.701383,pre
597,0.184251,1.5497,pre
598,1.1508,2.960708,pre
599,1.009873,1.046532,pre
600,1.06663,2.287135,pre
601,1.166063,1.7084,pre
602,0.948029,1.877759,pre
603,0.685634,2.35736,pre
604,1.106326,2.186591,pre
605,1.294424,1.506784,pre
606,0.596576,2.85516,pre
607,0.82278,1.238232,pre
608,0.904207,2.477653,pre
609,0.657434,1.767857,pre
610,1.155814,1.250757,pre
611,0.834769,1.263378,pre
612,1.300913,2.203319,pre
613,1.002029,3.359695,pre
614,1.172485,2.063924,pre
615,1.382389,2.64372,pre
616,1.060017,2.729102,pre
617,1.264133,1.786463,pre
618,1.048808,2.676687,pre
619,0.619241,2.315341,pre
620,1.003627,2.2871610000000002,pre
621,1.178271,2.871777,pre
622,1.121654,2.65054,pre
623,0.956212,1.986491,pre
624,0.695496,2.620449,pre
625,1.1616,1.895981,pre
626,0.770807,2.672101,pre
627,0.686728,2.194717,pre
628,1.148021,2.590055,pre
629,0.690534,2.561021,pre
630,1.059118,2.188016,pre
631,0.997852,2.728239,pre
632,0.664081,2.63684,pre
633,1.289875,2.151732,pre
634,0.84541,3.472573,pre
635,1.292109,3.179235,pre
636,0.871703,2.184146,pre
637,0.844887,1.846148,pre
638,0.978879,3.042758,pre
639,0.89505,1.950715,pre
640,0.893137,2.492346,pre
641,0.760439,3.089012,pre
642,0.674044,2.09899,pre
643,1.127849,1.619322,pre
644,0.770081,3.017366,pre
645,0.624469,1.758589,pre
646,0.83842,1.837256,pre
647,0.761794,1.288597,pre
648,0.410325,3.315408,pre
649,0.88213,2.691245,pre
650,0.99285,2.940255,pre
651,1.020771,3.483804,pre
652,1.041176,2.605921,pre
653,0.688523,2.112517,pre
654,0.852897,3.195218,pre
655,0.677689,3.693077,pre
656,0.766219,1.892638,pre
657,0.617772,2.215361,pre
658,0.636125,2.463979,pre
659,1.067576,2.125937,pre
660,0.836697,3.217143,pre
661,0.834695,2.453249,pre
662,1.326231,3.596016,pre
663,0.873538,2.418456,pre
664,0.748025,3.087495,pre
665,1.063128,3.937323,pre
666,0.748369,2.715883,pre
667,1.20715,3.69263,pre
668,0.763109,2.853052,pre
669,0.696956,1.769924,pre
670,0.552297,2.879983,pre
671,0.919688,3.196309,pre
672,1.197224,2.897024,pre
673,0.73453,2.587544,pre
674,0.881706,2.020434,pre
675,0.892349,3.599361,pre
676,1.157115,2.19038,pre
677,0.95996,1.951159,pre
678,0.517875,2.999695,pre
679,0.604237,2.01124,pre
680,0.583981,2.836101,pre
681,0.797836,2.827094,pre
682,0.753265,1.969037,pre
683,0.837926,3.90648,pre
684,0.573177,2.354983,pre
685,0.634882,3.395576,pre
686,0.905649,2.288278,pre
687,0.686634,2.325174,pre
688,0.539078,2.74282,pre
689,0.936444,2.76603,pre
690,0.687921,2.525502,pre
691,0.446199,2.202861,pre
692,1.093434,1.841611,pre
693,0.364561,3.144881,pre
694,0.201797,2.02263,pre
695,0.074141,1.813826,pre
696,0.790473,2.4149,pre
697,0.484651,2.246805,pre
698,0.53904,1.476368,pre
699,0.670312,2.349492,pre
700,0.471164,2.662688,pre
701,0.175558,3.050872,pre
702,0.079823,2.475213,pre
703,0.471701,1.977649,pre
704,0.590076,2.479821,pre
705,-0.033618,1.95334,pre
706,0.597806,2.028245,pre
707,0.620016,1.916141,pre
708,0.827308,1.973862,pre
709,0.533906,2.735358,pre
710,0.532992,2.272856,pre
711,0.621855,2.381307,pre
712,0.454795,3.623788,pre
713,0.428455,2.390399,pre
714,0.466112,2.087574,pre
715,0.611823,2.870624,pre
716,0.306553,2.095461,pre
717,0.278024,3.566037,pre
718,0.175083,2.266142,pre
719,0.14034,2.055799,pre
720,0.449825,1.718922,pre
721,0.743255,2.308535,pre
722,0.102428,3.159801,pre
723,0.285709,2.203727,pre
724,0.063443,2.308852,pre
725,0.536039,2.403131,pre
726,0.217696,3.359227,pre
727,0.32977,2.44668,pre
728,0.359959,1.83133,pre
729,-0.002728,1.819694,pre
730,0.222504,1.589201,pre
731,0.179413,2.108878,pre
732,0.39311,2.094246,pre
733,-0.096304,2.477436,pre
734,-0.10028,1.871245,pre
735,0.378848,1.955333,pre
736,0.027999,2.52417,pre
737,-0.002437,1.977199,pre
738,0.178479,1.671315,pre
739,0.057691,2.414098,pre
740,0.591929,2.092891,pre
741,0.177739,1.570919,pre
742,0.140752,3.134398,pre
743,0.32062,1.615839,pre
744,0.06034,1.250472,pre
745,0.074975,1.068766,pre
746,-0.217975,2.318608,pre
747,-0.535553,1.587976,pre
748,-0.276672,1.752416,pre
749,0.041093,2.149496,pre
750,-0.258324,1.553652,pre
751,0.159636,1.137302,pre
752,0.156141,1.026817,pre
753,0.016655,1.705202,pre
754,-0.100659,1.858819,pre
755,-0.404213,1.030437,pre
756,-0.152561,1.887702,pre
757,-0.201077,1.879811,pre
758,0.065446,2.314801,pre
759,0.214301,1.712621,pre
760,-7.3e-5,1.646841,pre
761,-0.419862,1.874281,pre
762,0.267524,1.55207,pre
763,0.089951,1.589792,pre
764,-0.119143,1.511177,pre
765,-0.739002,1.741728,pre
766,-0.438356,1.469335,pre
767,-0.22915,1.309555,pre
768,-0.033944,1.271752,pre
769,-0.531475,1.211544,pre
770,0.55411,1.506233,pre
771,-0.899298,2.006477,pre
772,-0.331935,1.075006,pre
773,-0.34991,1.204206,pre
774,-0.462883,1.082811,pre
775,-0.388765,1.664746,pre
776,-0.135345,1.157894,pre
777,-0.551393,1.332541,pre
778,-0.865346,1.522963,pre
779,-0.33297,1.056083,pre
780,-0.36858,1.325686,pre
781,-0.383054,1.156969,pre
782,-0.224382,1.600731,pre
783,-0.406198,0.869428,pre
784,-0.220364,0.934557,pre
785,-0.928463,1.447714,pre
786,-0.719161,1.104067,pre
787,-0.361183,1.032856,pre
788,-0.547804,1.106473,pre
789,-0.23451,1.139629,pre
790,-0.732934,1.776947,pre
791,-0.311752,1.153527,pre
792,-0.670831,1.131875,pre
793,-0.7927,1.296737,pre
794,-0.610876,1.036466,pre
795,-0.523382,1.01247,pre
796,-0.853315,0.864994,pre
797,-0.747877,0.583125,pre
798,-0.878814,0.675914,pre
799,-0.323379,0.979578,pre
800,-0.406882,0.760134,pre
801,-0.856037,1.019985,pre
802,-0.468594,1.051889,pre
803,-0.681755,0.933635,pre
804,-0.906039,0.949946,pre
805,-0.532125,0.676505,pre
806,-0.727794,0.849656,pre
807,-0.436541,0.761799,pre
808,-0.714728,1.04241,pre
809,-0.378319,1.16691,pre
810,-0.811988,1.005516,pre
811,-0.638766,0.675301,pre
812,-0.610076,1.294011,pre
813,-0.641759,1.110943,pre
814,-0.669823,0.936321,pre
815,-0.732218,0.478383,pre
816,-0.760229,0.612544,pre
817,-0.404683,0.873983,pre
818,-0.527219,0.978434,pre
819,-0.914915,0.573694,pre
820,-0.421404,1.727615,pre
821,-0.742263,0.411959,pre
822,-0.94644,0.712285,pre
823,-0.75154,0.680516,pre
824,-0.840864,0.650392,pre
825,-0.783782,0.674766,pre
826,-1.059688,0.846906,pre
827,-1.028489,0.524849,pre
828,-0.489866,0.409363,pre
829,-0.597185,0.7303,pre
830,-1.065259,0.714482,pre
831,-1.076018,0.63969,pre
832,-0.426693,0.861728,pre
833,-0.386663,0.631522,pre
834,-1.064469,0.778124,pre
835,-1.201883,0.398676,pre
836,-0.226417,0.49745,pre
837,-0.830729,0.696127,pre
838,-0.847154,0.561338,pre
839,-0.880371,0.724751,pre
840,-0.553612,0.455759,pre
841,-0.958037,0.741914,pre
842,-0.550393,0.520392,pre
843,-0.975396,0.458229,pre
844,-0.798791,0.540973,pre
845,-1.188151,0.592133,pre
846,-0.891711,0.428187,pre
847,-0.638567,0.550687,pre
848,-0.983842,0.415391,pre
849,-0.626479,0.687572,pre
850,-0.269257,0.701868,pre
851,-0.719383,0.457017,pre
852,-1.020675,0.652682,pre
853,-0.937908,0.502692,pre
854,-1.073864,0.373634,pre
855,-0.423916,0.610406,pre
856,-1.711327,0.51132,pre
857,-0.954305,0.608749,pre
858,-0.949734,0.464347,pre
859,-0.926493,0.661983,pre
860,-1.371742,0.424246,pre
861,-0.930511,0.527195,pre
862,-0.93977,0.492917,pre
863,-0.673996,0.530179,pre
864,-0.859582,0.502667,pre
865,-0.713251,0.51371,pre
866,-1.232987,0.443463,pre
867,-1.026052,0.732268,pre
868,-0.948199,0.585161,pre
869,-0.929105,0.402686,pre
870,-1.17148,0.63001,pre
871,-0.628944,0.434366,pre
872,-1.152231,0.359068,pre
873,-1.403262,0.474351,pre
874,-0.899299,0.430791,pre
875,-0.833861,0.486979,pre
876,-0.763889,0.344539,pre
877,-1.236249,0.381291,pre
878,-1.061362,0.667047,pre
879,-1.330846,0.557836,pre
880,-0.786836,0.362028,pre
881,-0.910235,0.334253,pre
882,-0.767693,0.60351,pre
883,-0.842882,0.672453,pre
884,-1.145498,0.341824,pre
885,-0.9472,0.283246,pre
886,-1.467564,0.792849,pre
887,-0.862915,0.470022,pre
888,-0.744461,0.419616,pre
889,-1.203499,0.454163,pre
890,-1.516293,0.546892,pre
891,-1.360562,0.358922,pre
892,-1.255548,0.535776,pre
893,-0.664281,0.383778,pre
894,-0.970761,0.443877,pre
895,-1.278032,0.306749,pre
896,-0.826457,0.430257,pre
897,-1.507815,0.565413,pre
898,-1.020278,0.365019,pre
899,-0.67665,0.580503,pre
900,-1.036475,0.758398,pre
901,-0.620739,0.479005,pre
902,-0.49416,0.336725,pre
903,-1.230693,0.371578,pre
